Number.1,Myco,Fertilizer,Percent.Inhibition2,damage..mm2.,damage2,Atesome,log_cat,Biomass,N_Percent1,C_Percent2,S_Percent3,CNRatio
1,Mycorrhizae,High,18.32891,2,2,1,2.908479595,0.84814,1.890818954,40.20680618,0.71870476,21.26422882
2,Mycorrhizae,Medium,8.41591,1,1,1,2.130123962,0.20198,1.649044275,40.8689003,0.974222481,24.78338623
3,Mycorrhizae,High,NA,1,1,1,NA,0.66227,2.187188387,35.54523849,1.446136951,16.25156784
4,Mycorrhizae,Low,NA,0.5,0.5,1,NA,0.1861,1.190720439,38.13500595,1.05168283,32.02683258
6,Mycorrhizae,Low,11.72024,NA,0,0,2.461317262,0.58917,1.360036612,38.29226303,1.067100048,28.15531731
7,Mycorrhizae,Medium,9.442626,NA,0,0,2.245234119,0.39921,1.174283504,39.98087692,0.762354672,34.04703903
9,Mycorrhizae,Medium,16.25957,NA,0,0,2.788681659,0.87167,1.175705791,41.73028564,0.715030551,35.49381638
10,Mycorrhizae,Medium,NA,3,3,1,NA,0.59007,0.947690904,38.19537354,0.93400532,40.30361938
18,Mycorrhizae,High,31.57646,1,1,1,3.452411906,0.84204,1.183835149,39.29310226,0.709462643,33.19136429
22,Mycorrhizae,High,2.663113,1,1,1,0.979495739,0.35674,1.862983227,37.57483673,1.174405098,20.1691761
27,Mycorrhizae,Medium,14.52427,2,2,1,2.675821043,0.45818,1.253237367,41.20281982,0.909381568,32.87710953
30,Mycorrhizae,Low,NA,0.5,0.5,1,NA,0.19144,1.056313396,39.17549515,0.819046319,40.88396645
31,Mycorrhizae,Medium,8.406671,4,4,1,2.129025557,0.50601,1.538644195,39.01366425,1.035193563,25.3558712
32,Mycorrhizae,High,72.09311,NA,0,0,4.277958478,0.64431,1.47356987,36.61381149,1.141063213,24.84701347
33,Mycorrhizae,Medium,35.9803,NA,0,0,3.582971566,0.78129,1.162763476,39.0272789,0.691132486,33.56424713
35,Mycorrhizae,High,10.89018,3,3,1,2.387861466,0.64351,1.34789602,40.12762578,0.868499637,32.13426717
37,Mycorrhizae,Low,12.55769,14,14,1,2.530333227,0.76792,1.180050492,39.0790863,1.181925416,33.11645126
38,Mycorrhizae,High,6.335882,10,10,1,1.846229031,0.36424,2.038239002,41.373806,0.815850496,20.29879951
39,Mycorrhizae,Medium,NA,NA,0,0,NA,0.5769,0.987532496,38.70660782,0.793487489,39.19527435
40,Mycorrhizae,Medium,9.3877985,0.5,0.5,1,2.239410814,0.54427,0.855976462,39.24106979,0.988872647,45.84363174
42,Mycorrhizae,High,8.582487,NA,0,0,2.149723732,0.76731,1.951348424,36.61365509,1.177630186,18.76325798
44,Mycorrhizae,High,19.62765,NA,0,0,2.976939286,1.0144,1.299510241,37.47747421,1.147283435,28.83969116
45,Mycorrhizae,Medium,29.68989,2,2,1,3.390806584,0.49599,0.99129957,35.98080444,1.329711676,36.29660034
47,Mycorrhizae,High,NA,NA,0,0,NA,0.80069,1.89067018,36.35965347,1.249404907,19.23109245
49,Mycorrhizae,Low,7.889254,NA,0,0,2.06550158,0.09288,1.389049411,34.09303284,2.072070122,24.54414749
50,Mycorrhizae,High,23.06689,NA,0,0,3.138398256,0.60266,1.174586773,39.44006729,0.834047437,33.57782364
